#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,Restatex Real Estate Exhibition,الهيئة السعودية للعقار,"الملتقى السنوي الأضخم الذي يجمع أقطاب صناعة العقار في قلب المملكة العربية السعودية، حيث يمثل واجهة استثمارية متكاملة تستعرض ملامح المستقبل العمراني يجمع المعرض تحت سقف واحد كبار المطورين العقاريين والمؤسسات التمويلية والجهات الحكومية ذات العلاقة ليقدم لزواره خارطة طريق شاملة لكل ما يخص تملك العقار أو الاستثمار فيه.","Wednesday, February 11, 2026","Saturday, February 14, 2026",,Tier 2,أعمال,الرياض ,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,استضافة مقر الاتحاد الدولي للصحفيين لغرب آسيا,هيئة الصحفيين السعوديين ,استضافة اجتماعات الاتحاد الدولي للصحفيين لمنطقة غرب آسيا بمشاركة ممثلين عن النقابات والجمعيات الصحفية في دول غرب آسيا.,"Sunday, February 22, 2026","Tuesday, February 24, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,فبراير 2026م,تضمن,
,منتدى استثمر في السعودية,وزارة الاستثمار,"يشكل المنتدى نقطة الانطلاق للمستثمرين الدوليين الراغبين في الحصول على المساعدة والدعم في المراحل التي تسبق دخولهم إلى المملكة العربية السعودية أو ترافقهم أو تتابعهم، ويكون الحدث الاستثماري الذي يجمع جميع الأطراف المعنية من المستثمرين والخبراء الاقتصاديين والمتخصصين في مختلف المجالات.","Thursday, February 26, 2026","Friday, February 27, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تغطية إعلامية,مؤسسة حديقة الملك سلمان,سيتواجد الإعلاميون في قلب حديقة الملك سلمان لتوثيق أضخم تحول بيئي في العاصمة حيث سيقومون بجولات ميدانية لرصد تقدم الأعمال في المعالم الكبرى مثل المجمع الملكي للفنون والوادي كما سيعملون على نقل الصورة الحية للمساحات الخضراء والمسارات الرياضية عبر تغطيات حصرية ولقاءات مع مهندسي المشروع لإبراز دور الحديقة في رفع جودة الحياة وتحويل الرياض إلى وجهة عالمية مستدامة.,"Sunday, March 1, 2026","Sunday, March 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الأول أو الثاني,تحسب بدون تضمين,Tier 3
,حفل جائزة البحوث الاجتماعية النسخة الثانية,المركز الوطني للدراسات والبحوث الاجتماعية ,"فعالية ثقافية تقام لتكريم وتقدير الباحثين المتميزين في مجال البحوث الاجتماعية يهدف إلى تشجيع البحث العلمي ونشر المعرفة حول أهميته، ويجذب الحفل باحثين ومختصين من مختلف أنحاء المملكة، حيث يتضمن عروضاً تقديمية وكلمات من كبار الشخصيات في المجال الأكاديمي والبحثي إلى جانب حفل تكريم الفائزين ويسهم الحفل في تحفيز الباحثين على تقديم المزيد من الأبحاث المبتكرة.","Saturday, March 28, 2026","Saturday, March 28, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,مارس 2026م,تضمن,
,حفل جائزة المحتوى المحلي,هيئة المحتوى المحلي والمشتريات الحكومية,جائزة لتحفيز وتكريم القطاعين العام والخاص والشركات المملوكة للدولة وذلك لزيادة المحتوى المحلي في مختلف القطاعات وتطوير أدائها في تنفيذ العقود والمشاريع بهدف تعزيز الإمكانات المحلية وتعظيم الفائدة من القوة الشرائية الوطنية لبناء اقتصاد قوي ومستدام.​,"Wednesday, April 1, 2026","Wednesday, April 1, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,أبريل 2026م,تضمن,
,منتدى مؤشرات الاتصالات,هيئة الاتصالات والفضاء والتقنية,منتدى يعقد لاستعراض أهم مؤشرات قطاع الاتصالات والتقنية في المملكة ويناقش مجموعة من الموضوعات المتعلقة بتوجهات القطاع وذلك بحضور أصحاب المعالي والخبراء المحليين والدوليين والمهتمين في قطاع الاتصالات والتقنية من داخل وخارج المملكة.,"Wednesday, April 1, 2026","Wednesday, April 1, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,حفل بطاقة الأداء في كفاءة الطاقة,المركز السعودي لكفاءة الطاقة,"حفل لتكريم الجهات الحكومية المتميزة في بطاقة الأداء في كفاءة الطاقة، حيث يهدف المركز إلى تحفيز الجهات الحكومية من تطبيق أفضل الممارسات التي تحسّن من كفاءة استهلاك الطاقة لديها.","Wednesday, April 1, 2026","Wednesday, April 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تحسب بدون تضمين,Tier 3
,منتدى الصادرات غير النفطية ,اللجنة الوطنية للصادرات ,تنظيم منتدى للمصدرين ,"Wednesday, April 1, 2026","Wednesday, April 1, 2026",,Tier 3,أعمال,,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,حفل جائزة مجلس الضمان الصحي للتميز ,مجلس الضمان الصحي (ضمان),"المؤتمر الوطني الأول من نوعه على مستوى المملكة لكبار صناع السياسات والخبراء المسؤولين عن مستقبل قطاع الصحة والرعاية الصحية في المملكة, ويضم التحالف ست منظمات وطنية بهدف توحيد الرؤى وتناغم وتظافر جميع الجهود لتحقيق الهدف المشترك للتحول نحو الصحة الحكيمة.","Wednesday, April 1, 2026","Thursday, April 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,أبريل 2026م,تحسب بدون تضمين,Tier 3
,مؤتمر متغيرات الأعلام,هيئة الصحفيين السعوديين ,استضافة كونغرس الصحافة الدولي WAN-IFRA أو أحد مناسبات المنظمة وتشكيل لجنة لاختيار موضوعات جانبية للموضوع الرئيسي عن متغيرات الإعلام.,"Wednesday, April 1, 2026","Friday, April 3, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,"أبريل، مايو 2026م",تضمن,
,مؤتمر أسبوع الابتكار,"هيئة تنمية البحث والتطوير والابتكار
",يهدف المؤتمر إلى تعزيز ثقافة الابتكار والملكية الفكرية وريادة الأعمال وتشجيع الشباب السعودي على المشاركة في تطوير الاقتصاد الوطني من خلال طرح أفكار مبتكرة وحلول إبداعية كما يسعى إلى توفير منصة للتواصل وتبادل الخبرات بين الباحثين والمبتكرين ورواد الأعمال والمستثمرين والجهات الحكومية ذات الصلة والمؤسسات والمراكز البحثية والجامعات.,"Wednesday, April 1, 2026","Friday, April 3, 2026",,Tier 2,أعمال,الرياض,,أساس,ملغى 1,متواصلة,أبريل 2026م,لن تضمن,غير مضمنة
,الملتقى القيادي,معهد الإدارة العامة,ملتقى يربط الـشخصيات الـقياديـة وأصـحاب الـرؤى الاسـتراتـيجية مـن مـختلف الـقطاعـات الاقـتصاديـة في المـملكة ويجـمعهم تـحت سـقف واحـد لـتبادل الأفـكار ووجـهات الـنظر وطـرح المـبادرات حـول الـتطويـر الـقيادي والـتنمية الإداريـة مـن أجـل حـراك قـيادي بناء يحـدث التأثير الإيجابي الـذي تـطمح إلـيه المـملكة.,"Sunday, April 5, 2026","Monday, April 6, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,أبريل 2026م,تضمن,
,ملتقي اليوم العالمي للتعاونيات,وزارة الموارد البشرية والتنمية الاجتماعية ,يهدف الى تسليط الضوء على مساهمات التعاونيات في التنمية الاجتماعية والاقتصادية وتعزيز الوعي بأهميتها.,"Tuesday, April 7, 2026","Tuesday, April 7, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,Tier 3
,تحدي الإلقاء للأطفال,مجمع الملك سلمان العالمي للغة العربية,"مسابقة حيّة بين الأطفال المتحدثين باللغة العربية في أنحاء العالم يتنافسون في إلقاء النصوص الشعرية عبر تصوير مقاطع مرئية محددة بزمن معين باستخدام منصة X (منصة تويتر سابقا) ، ويحصل الفائزون منهم على جوائز مادية ومعنوية.","Wednesday, April 8, 2026","Thursday, April 9, 2026",,Tier 3,أعمال,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,Beyond,وزارة الاقتصاد والتخطيط,حدث عالمي يهدف إلى تأسيس منصة تجمع قادة الفكر والمبتكرين وصناع السياسات من جميع أنحاء العالم لتطوير سياسات اقتصادية واجتماعية مبتكرة تواكب التحديات المستقبلية وتساهم في تحقيق الازدهار للبشرية والمجتمعات والاقتصاد.,"Friday, April 10, 2026","Saturday, April 11, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,أبريل 2026م,تضمن,
, أسبوع الرياض الدولي للصناعة,وزارة الصناعة والثروة المعدنية,يجمع أسبوع الرياض الدولي للصناعة 4 معارض تجارية صناعية رئيسية تحت سقف واحد ويربط أكثر من 16000 قائد من قادة القطاع الصناعي الإقليميين والدوليين في منطقة الشرق الأوسط وشمال إفريقيا.,"Sunday, April 12, 2026","Wednesday, April 15, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المعرض السعودي للبلاستيك والصناعات البتروكيماوية,قطاع خاص (شركة الرياض للمعارض),يُعد المعرض أكبر تجمّع من نوعهِ ويهدف إلى تبني نَهج الابتكار والاستدامة في قطاعي البلاستيك والبتروكيماويات بالمملكة وكما يجمع المعرض رجال الأعمال والمهنيين وصنّاع القرار والبائعين في منصة واحدة لعرض الحلول الإبداعيّة وطرح الابتكارات الاستثنائية.,"Sunday, April 12, 2026","Wednesday, April 15, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر الدولي لسلطات تنظيم الأدوية,الهيئة العامة للغذاء والدواء ,الاجتماع السنوي للمؤتمر الدولي لسلطات تنظيم الأدوية بدورته (العشرين) في مدينة الرياض خلال العام 2026م.,"Monday, April 13, 2026","Thursday, April 17, 2025",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر LEAP,القطاع الخاص (تحالف),يجمع هذا الحدث أفضل المحترفين والمبتكرين في منظومة التكنولوجيا العالمية في مكان واحد ويهدف إلى إحداث ثورة في مجال التكنولوجيا والابتكار.,"Monday, April 13, 2026","Thursday, April 16, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,نساء في عالم البيانات ,جامعة الأمير سلطان,"مؤتمر المرأة في علم البيانات (WiDS) هو منصة عالمية تهدف إلى تعزيز مشاركة المرأة في مجالات علم البيانات والذكاء الاصطناعي. يُسلّط المؤتمر الضوء على إنجازات الباحثات والمختصات في هذا المجال، ويستهدف بناء شبكة تواصل مهنية، وتقديم محتوى علمي ملهم من خلال جلسات حوارية وورش عمل ومسابقات موجهة لطالبات والجامعية.","Tuesday, April 14, 2026","Wednesday, April 15, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,الجائزة الوطنية لسلامة المرضى,المركز السعودي لسلامة المرضى,الجائزة الوطنية لسلامة المرضى هي مبادرة تهدف إلى التعرف على الممارسات المبتكرة وأفضل الممارسات في مجال سلامة المرضى في المملكة العربية السعودية بالإضافة إلى إبراز المشاريع الناجحة التي تم اختيارها من قبل محكمين دوليين ومحليين في مجال سلامة المرضى.,"Wednesday, April 15, 2026","Wednesday, April 15, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,مؤتمر هندسة الصفقات ومستقبل الاستثمار ,غرفة الرياض ,"يعد المؤتمر منصةً عالميةً بارزة تجمع كبار القادة والمستثمرين وصناع القرار لاستكشاف سبل توظيف الاستثمار في بناء مستقبل مستدام للإنسانية، ويركز المؤتمر على التحديات التي تعيق التقدم من خلال استعراض تناقضات الابتكار وستناقش الجلسات التطورات في السياسات والتقنيات الناشئة التي تؤثر على التوترات الجيوسياسية.","Wednesday, April 15, 2026","Wednesday, April 15, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,المؤتمر السعودي الأول للرفاه والعافية النفسية,المركز الوطني لتعزيز الصحة النفسية ,يسعى المؤتمر إلى استعراض أحدث الأبحاث والممارسات المبتكرة والاستراتيجيات في مجال الرفاه والعافية النفسية بالإضافة إلى تبادل الخبرات على المستويين المحلي والعالمي من أجل المساهمة في تحسين جودة الحياة النفسية وتحقيق رؤية المركز في مجال الرفاه والعافية النفسية.,"Wednesday, April 15, 2026","Thursday, April 16, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,ملتقى الرياض لتأمين آفاق التحول والتكامل في القطاع,غرفة الرياض ,"هو حدث استراتيجي يهدف إلى تسريع تطوير صناعة التأمين في المملكة، حيث يجمع الملتقى جهات تنظيمية عالمية وشركات التأمين وإعادة التأمين والمستثمرين ورواد التقنية لتحويل الأفكار والرؤى إلى مبادرات عملية تعزز الابتكار وتوسيع السوق وتدعم مسار النمو المستدام.","Wednesday, April 15, 2026","Thursday, April 16, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,معرض ومنتدى الوجهات الطبيعية,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,"معرض ومنتدى يستضيف كوكبة من المتحدثين والخبراء البيئيين المحليين والدوليين، وسيتم من خلاله تسليط الضوء على تحديات الوجهات الطبيعية حول العالم والمملكة، واستعراض وطرح الفرص الاستثمارية والسياحية.","Monday, April 20, 2026","Monday, April 20, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,مؤتمر مستقبل الطيران ,الهيئة العامة للطيران المدني ,مناسبة عالمية تستضيفها المملكة كل عامين تمثل ملتقى نخبة عالية من المسؤولين بمنظمات الطيران المدني الدولية والإقليمية وعدد من كبار المهتمين بشؤون الطيران وشركات الطيران المحلية والعالمية بما يسهم بجعل المملكة مركزا عالميا في مجال الطيران والخدمات اللوجستية.,"Monday, April 20, 2026","Wednesday, April 22, 2026",,Marquee,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر الدولي للبيانات,الهيئة السعودية للبيانات والذكاء الاصطناعي (سدايا),"حدث عالمي يجمع قادة وصناع السياسات والخبراء والمبتكرين في مجالات حوكمة وإدارة البيانات، حيث يهدف هذا المؤتمر إلى مناقشة وتبادل الرؤى حول إدارة البيانات وحوكمتها وتسليط الضوء على أفضل الممارسات والمعايير والتشريعات العالمية وتعظيم الاستفادة من قيمة البيانات على كافة القطاعات.","Wednesday, April 22, 2026","Thursday, April 23, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر يوم الطب البيطري,مركز وقاء ,يهدف هذا اليوم إلى تسليط الضوء على دور الأطباء البيطريين في حماية صحة الحيوان والإنسان والبيئة كما أنه يوم لتكريم الأطباء البيطريين وتقدير مساهماتهم في مجال الرعاية الصحية.,"Friday, April 24, 2026","Friday, April 24, 2026",,Tier 2,أعمال,الرياض ,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,الاجتماع الوزاري لمنتدى الطاقة الدولي السابع عشر,وزارة الطاقة ,اجتماعات رفيعة المستوى بين وزراء الطاقة من الدول المنتجة والمستهلكة للطاقة لمناقشة قضايا سوق الطاقة أمن الإمدادات والاستقرار العالمي كما في اللقاء الذي عقد في الرياض لمناقشة تحديات الطاقة والذكاء الاصطناعي. ,"Sunday, April 26, 2026","Sunday, April 26, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,Tier 3
,مؤتمر المحاماة الدولي ,الهيئة السعودية للمحامين,مؤتمر علمي يجمع الخبراء والمختصين والمهتمين في مهنة المحاماة ويناقش أبرز التطورات والتحديات والحلول في قطاع المحاماة والاستشارات القانونية بمشاركة الجهات العدلية والإدارات القانونية والكليات الحقوقية.,"Sunday, April 26, 2026","Monday, April 27, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر البترول العالمي,وزارة الطاقة," يُعد مؤتمر الطاقة العالمي WPC المنصة العالمية الأكثر تأثيرًا للحوار والتعاون والاستشراف الاستراتيجي في قطاع الطاقة على مدار ما يقرب قرن، حيث يجمع المؤتمر القادة لاستكشاف حلول عملية تُسرّع التحول في مجال الطاقة وتُعالج مسألة العدالة العالمية في مجال الطاقة وسيشهد المؤتمر تبادلًا للآراء على مستوى الوزراء والرؤساء التنفيذيين وعروضًا للابتكارات ورؤى تعكس واقع اليوم وتُشكّل مسارات الغد.","Sunday, April 26, 2026","Thursday, April 30, 2026",,Marquee,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر الدولي للسلامة والصحة المهنية,وزارة الموارد البشرية والتنمية الاجتماعية,مؤتمر دولي متخصص في السلامة والصحة المهنية يجمع نخبة من القيادات والخبراء والمختصين في المجال لتبادل الخبرات ومناقشة التحديات والممارسات في المجال.,"Monday, April 27, 2026","Wednesday, April 29, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى الأسواق المالية ,مجموعة تداول السعودية,"ملتقى يجمع الجهات الفاعلة في الأسواق المالية بما في ذلك المستثمرين والمحللين والشركات المدرجة والمشرعين لمناقشة التطورات الحديثة والتحديات والفرص في السوق المالية، ويهدف لمناقشة وتبادل الأفكار حول الأسواق المالية في المملكة العربية السعودية والأسواق العالمية.","Tuesday, April 28, 2026","Thursday, April 30, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر السعودي لزراعة الأعضاء,المركز السعودي لزراعة الأعضاء,"تسليط الضوء على ريادة المملكة وانخراطها النشط في المنتديات والمنظمات الصحية الدولية من خلال تبادل المعرفة والخبرات، حيث يسعى الملتقى إلى تعزيز مكانة المملكة كمركز رئيسي للتميز في الرعاية الصحية وفتح آفاق التعاون مع المنظمات الدولية لدعم وتطوير هذا القطاع الحيوي.","Wednesday, April 29, 2026","Thursday, April 30, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,نهائي مسابقة أذكى,مؤسسة الملك عبد العزيز ورجاله للموهبة والإبداع (موهبة) ,"المرحلة النهائية للأولمبياد الوطني للبرمجة والذكاء الاصطناعي هي مسابقة وطنية تنافسية لطلاب وطالبات المدارس للمرحلة المتوسطة والثانوية من مختلف مناطق المملكة، حيث يتنافس المتميزون من الطلاب والطالبات على أساس فردي لحل المشكلات وصقل مهاراتهم المعلوماتية والتي تتمحور حول اكتشاف مهارات استخدام أجهزة الحاسب الآلي لحل المشكلات.","Wednesday, April 29, 2026","Sunday, May 3, 2026",,Tier 2,أعمال,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,مؤتمر مبادرة القدرات البشرية ,برنامج تنمية القدرات البشرية , هو منصة عالمية في الرياض لتوحيد الجهود الدولية وإثراء الحوار حول مستقبل القدرات البشرية وبناء اقتصاد مزدهر التي تعزز جاهزية القدرات البشرية لمواكبة المتغيرات العالمية.,"Sunday, May 3, 2026","Monday, May 4, 2026",,Tier 1,أعمال,الرياض ,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض التعليم الدولي,وزارة التعليم ,"معرض يهدف إلى رفع وعي وإلمام الأفراد والمؤسسات في المملكة بأحدث العلوم والمهارات والتقنيات من خلال مزيج تفاعلي يتضمن على عروض لتقنيات التعليم وأحدث الابتكارات بالإضافة إلى ورش عمل تفاعلية وحلقات نقاش، في رحلة الابتكار عبر مختلف القطاعات.","Sunday, May 3, 2026","Tuesday, May 5, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,مايو 2026م,تضمن,
,منتدى الاستثمار الرياضي,وزارة الرياضة ,يُعد المنتدى منصة إستراتيجية تعكس مكانة المملكة في الاقتصاد الرياضي من خلال جلسات متخصصة وورش عمل ومعرض ومنصة للاتفاقيات وتتميز هذه النسخة بتخصيص يوم كامل للمرأة والرياضة لمناقشة تمكين المرأة ومستقبل الرياضة النسائية والاستثمار المستدام.,"Sunday, May 3, 2026","Tuesday, May 5, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مسابقة حرف,مجمع الملك سلمان العالمي للغة العربية,مسابقة لغوية موجهّة إلى متعلمي اللغة العربية الناطقين بغيرها في المملكة العربية السعودية لتتيح لهم فرصة إبراز مهاراتهم في مجالات متنوعة من اللغة العربية وتكريم المتميزين منهم وتشجيع المتعلمين على ممارسة اللغة العربية وتعزيز استخدامها.,"Tuesday, May 5, 2026","Wednesday, May 6, 2026",,Tier 3,أعمال,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,معرض ومنتدى تقنيات التشجير ,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,معرض متخصص يُعنى بعرض أحدث الحلول والتقنيات في التشجير وتأهيل الغطاء النباتي ومكافحة التصحر ويأتي ضمن جهود دعم الاستدامة البيئية في المملكة والمنطقة كما يهدف إلى تعزيز الشراكات وتبادل الخبرات وتمكين الابتكار في مواجهة التحديات البيئية.,"Wednesday, May 6, 2026","Wednesday, May 6, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,معرض اليوم العالمي للهلال الأحمر,الهلال الأحمر السعودي,سيقوم الهلال الأحمر السعودي بتنفيذ فعالية في مجموعة من المواقع السياحية وذلك لعرض أخر ما توصل له الأسطول الإسعافي والإسعافات الأولية في الهيئة كذلك تشارك الجهات في المنظومة الصحية بعرض ابرز خدماتها التي تنفذ للمجتمع ومن المتوقع تنفيذ هذه الفعالية في كافة مناطق المملكة.,"Friday, May 8, 2026","Friday, May 8, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,CPHI الشرق الأوسط ,القطاع الخاص (تحالف), تجمع مهني وعلمي رائد يهدف إلى الارتقاء بمهنة الصيدلة وتعزيز دور الصيادلة كشركاء أساسيين في منظومة الرعاية الصحية ويوفر الملتقى منصة شاملة لتبادل المعارف والخبرات واستعراض أحدث الأبحاث والابتكارات في مجالات الصناعة الدوائية.,"Monday, May 11, 2026","Wednesday, May 13, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,BIO الشرق الأوسط,وزارة الصحة,"يُعد منصة رائدة في المنطقة لتعزيز التعاون بين القطاعين العام والخاص في التقنيات الحيوية وعلوم الحياة، حيث تُقام الفعالية بجانب معرض CPHI الشرق الأوسط وتوفر فرصاً لعقد اجتماعات مخصصة تسهم في إبرام الشراكات وتشمل الأجندة مواضيع متخصصة مثل علاجات الخلايا والجينات وتقنيات mRNA مما يجعلها حدثاً يجمع بين العلوم والتجارة ويعزز دور المملكة في قطاع التقنيات الحيوية.","Monday, May 11, 2026","Wednesday, May 13, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,منتدى الأسرة الدولي ,مجلس شؤون الأسرة ,منتدى دولي لاستشراف مستقبل الأسرة في السعودية يهدف إلى مناقشة أبرز التحديات التي تؤثر على تماسك الأسرة ودورها المحوري في المجتمع والعمل على التوصية بالحلول المناسبة لها عبر استضافة خبراء ومستشارين والمختصين العالميين. ,"Thursday, May 14, 2026","Friday, May 15, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,
,معرض Beauty world Riyadh,قطاع خاص (ميسي فرانكفورت الشرق الأوسط),"يعتبر المعرض الأول والرائد في المملكة لقطاع الجمال ومستحضرات التجميل، حيث يفتح آفاقٍ جديدة للوصول إلى السوق عبر مجتمع يتوسع بوتيرة متسارعة من المستثمرين والموزعين.","Monday, May 18, 2026","Wednesday, May 20, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المعرض السعودي للضوء والصوت,قطاع خاص (DMG),يُعد المعرض منصة رائدة متخصصة في تقنيات الفعاليات وتصميم الإضاءة والابتكارات الصوتية ويجمع المبتكرين والموردين وصناع القرار ويتيح فرصة لاستكشاف أحدث الحلول والتقنيات المتطورة في عدة مجالات.,"Tuesday, May 19, 2026","Thursday, May 21, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى اليوم العالمي للقياس,الهيئة السعودية للمواصفات والمقاييس والجودة,"ملتقى سنوي يُعقد بالتزامن مع اليوم العالمي للقياس بمشاركة خبراء محليين ودوليين، ويشمل أوراق علمية وورش عمل افتراضية.","Wednesday, May 20, 2026","Wednesday, May 20, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى التميز المحاسبي,الهيئة السعودية للمراجعين والمحاسبين,"يشمل الملتقى معرض مصاحب وتكريم الكوادر المحاسبية المهنية المتميزة التي اجتازت الاختبارات المهنية وحصلت على الشهادة المهنية، حيث يشمل كذلك مسابقة طلابية دولية في المحاسبة.","Wednesday, May 27, 2026","Friday, May 29, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,المؤتمر الدولي للعلوم الاجتماعية والإنسانية,المركز الوطني للدراسات والبحوث الاجتماعية ,مؤتمر يجمع نخبة من الأكاديميين والباحثين من داخل المملكة وخارجها ويهدف إلى مناقشة أبرز القضايا والاتجاهات البحثية في مجالات العلوم الاجتماعية والإنسانية من خلال جلسات علمية متخصصة وورش عمل تطبيقية وأنشطة ثقافية مصاحبة.,"Monday, June 1, 2026","Tuesday, June 2, 2026",,Tier 2,أعمال,الرياض,,أساس,ملغى 1,متواصلة,يونيو 2026م,لن تضمن,غير مضمنة
,الحفل الختامي,جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,يتضمن الحفل عرضًا لأبرز إنجازات العام وتكريم الكليات والجهات التي حققت أداءً متميزًا ويُعرض خلاله مؤشر أداء الكليات ويتم الإعلان عن الكلية الفائزة بأعلى أداء وفقًا لمعايير التقييم المعتمدة  ويهدف الحفل إلى تعزيز روح التنافس الإيجابي وتقدير الجهود المبذولة من الطلبة وأعضاء هيئة التدريس والإدارات المختلفة مما يسهم في رفع جودة الأداء وتحفيز الاستمرار في التميز والعطاء في الأعوام القادمة.,"Friday, June 5, 2026","Friday, June 5, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
